Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,OSU,N,37,8,3,3,2,0,1,1,0,0,0,0,0,0,0
Argentina,OSU,P,87,33,25,21,22,21,36,36,27,17,20,4,3,2,1
Argentina,OSU,Q,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,OSU,R,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Argentina,OSU,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,OSU,T,2,0,3,2,0,2,0,1,0,0,0,0,0,0,0
Argentina,OSU,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,OSU,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,OSU,Z,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0
Argentina,UPM,A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,UPM,B,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0
Argentina,UPM,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,UPM,F,7,3,2,3,8,1,3,4,5,3,2,2,0,0,0
Argentina,UPM,G,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Argentina,UPM,H,4,0,1,3,1,4,4,5,0,1,2,0,0,0,0
Argentina,UPM,J,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
Argentina,UPM,K,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,N,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,P,66,44,45,49,32,50,41,46,35,38,32,18,14,2,1
Argentina,UPM,Q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,T,2,0,3,3,0,1,1,0,0,0,0,0,0,0,0
Argentina,UPM,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UPM,Z,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Argentina,IPL,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,IPL,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,F,1,1,1,2,3,1,2,2,2,3,2,1,0,0,0
Argentina,IPL,G,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
Argentina,IPL,H,1,2,2,1,1,1,3,2,2,1,2,0,0,0,0
Argentina,IPL,J,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Argentina,IPL,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,M,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Argentina,IPL,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,P,9,13,21,16,10,18,15,22,16,22,17,16,13,2,1
Argentina,IPL,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IPL,Z,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Argentina,NJR,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,E,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Argentina,NJR,F,3,2,3,3,3,2,1,3,1,4,0,0,0,0,0
Argentina,NJR,G,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,NJR,H,25,11,9,3,9,14,15,7,9,4,1,0,0,0,0
Argentina,NJR,J,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Argentina,NJR,K,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,NJR,L,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,M,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0
Argentina,NJR,N,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,P,17,26,11,4,10,12,4,19,13,18,6,4,4,1,1
Argentina,NJR,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,R,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Argentina,NJR,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,T,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0
Argentina,NJR,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NJR,Z,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Argentina,CGU,A,1,3,3,0,0,1,2,0,1,0,0,0,0,0,0
Argentina,CGU,B,76,45,30,34,19,14,4,3,0,0,0,0,0,0,0
Argentina,CGU,C,11,12,8,1,3,1,0,2,0,0,0,0,0,0,0
Argentina,CGU,D,32,26,11,9,2,5,5,1,0,0,0,0,0,0,0
